음 식 명,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),칼륨(mg),인(mg),나트륨(mg),포화지방산(g),콜레스테롤(mg)
(검은)콩조림,30g,281.0,34.83,17.97,7.73,3.53,602.0,251.0,868.0,0.67,0.0
가래떡,100g,195.0,43.73,3.92,0.51,0.0,23.0,43.0,241.0,0.19,0.0
가자미전,150.0,220.464,6.684,29.9715,7.123499999999999,0.0,495.97950000000003,279.4755,814.374,,226.875
가자미조림,280ml,62.0,4.41,7.9,1.37,1.51,233.0,82.0,241.0,0.24,32.1
가지나물,50g,36.0,4.18,1.42,1.5,2.34,222.0,45.0,274.0,0.22,0.0
간자장,500g,125.0,15.13,5.12,4.89,0.86,125.0,53.0,455.0,0.8,6.05
간장게장,250.0,292.7025,13.884999999999998,32.665,2.0875,0.1702499999999999,1137.6924999999997,458.4275,3075.5325,,223.125
갈비삼각김밥,94.50,185.0,30.58,4.8,4.4,0.24,82.0,64.0,179.0,0.67,3.92
갈비탕,670g,54.0,0.4,8.51,2.06,0.11,106.0,49.0,199.0,0.79,31.46
갈치조림,400ml,65.0,4.44,6.31,2.4,1.78,213.0,78.0,232.0,0.67,21.47
감자국,400g,21.0,3.67,0.9,0.26,0.85,122.0,22.0,215.0,0.03,0.0
감자밥,261.5,130.0,28.45,2.4,0.14,0.01,113.0,37.0,2.0,0.05,0.0
감자볶음,100g,100.0,12.41,1.75,4.84,3.37,311.0,38.0,318.0,0.63,0.0
감자전,200g,133.0,16.79,1.72,6.54,1.81,406.0,46.0,293.0,0.89,0.0
감자조림,50g,114.0,18.1,2.4,3.52,7.68,401.0,56.0,487.0,0.42,0.0
감자탕,530g,71.0,2.27,6.31,4.06,0.0,98.0,43.0,328.0,1.16,38.53
감자튀김,150g,312.0,35.15,4.55,17.01,0.37,657.0,123.0,78.0,3.29,0.0
갓김치,100g,37.0,7.07,3.26,0.4,2.46,328.0,49.0,720.0,0.08,0.0
건새우볶음,20g,304.0,5.4,41.55,12.95,4.05,631.0,761.0,1554.0,1.75,387.95
게살죽,800g,71.0,13.42,2.24,0.89,0.02,43.0,24.0,182.0,0.26,6.27
경단,100g,218.0,43.1,8.2,1.4,0.0,1182.0,91.0,238.0,0.0,0.0
고구마맛탕,200g,246.0,47.3,1.65,5.5,19.35,464.0,76.0,38.0,0.95,0.0
고구마줄기나물,50g,83.0,4.1,0.98,7.0,0.0,122.0,29.0,179.0,1.16,0.0
고구마튀김,166.5,193.0,29.37,2.7,6.86,5.91,244.0,53.0,17.0,1.16,27.33
고기만두,315ml,105.0,13.15,6.6,2.51,0.27,113.0,74.0,322.0,0.54,7.77
고들빼기,50g,71.0,11.52,3.0,1.38,4.4,257.0,42.0,605.0,0.14,3.9
고등어조림,100g,141.0,4.1,11.25,8.84,3.39,346.0,148.0,390.0,2.14,30.05
고등어찌개,451.8,38.0,2.02,3.5,1.69,0.9,112.0,46.0,193.0,0.43,9.45
고사리나물,60ml,34.0,3.57,2.7,1.65,0.43,188.0,58.0,166.0,0.26,0.01
고추잡채,400ml,67.0,4.21,4.18,3.91,1.49,150.0,52.0,159.0,0.9,14.49
고추장아찌,100g,124.0,31.49,2.39,0.63,11.38,209.0,34.0,2026.0,0.11,0.0
고추장찌개,100g,124.0,31.49,2.39,0.63,11.38,209.0,34.0,2026.0,0.11,0.0
